Stage Name,Full Name,Korean Name,Korean Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
Ashley,Ashley Choi,애슐리 최,애슐리,11/9/1991,Ladies' Code,South Korea,USA,0,0,Incheon,,,F,,,
Aurora,Yang Lan,양안,오로라,1/14/1997,NATURE,China,,0,0,,,,F,,,
Avin,Park Donghyun,박동혁,어빈,12/18/1999,ENOi,South Korea,,178,61,,,,M,,,
Ayno,Noh Yoonho,노윤호,에이노,5/1/1996,VAV,South Korea,,183,61,,,,M,,,
B-Bomb,Lee Minhyuk,이민혁,비범,12/14/1990,Block B,South Korea,,178,60,Seoul,Bastarz,,M,,,
B-Joo,Kim Byungjoo,김병주,비주,1/8/1994,Topp Dogg,South Korea,,0,0,Seoul,,,M,,,
B.I,Kim Hanbin,김한빈,비아이,10/22/1996,,South Korea,,0,0,Goyang,,iKON,M,,,
B.S,Lee Youngsoo,이영수,비에스,4/14/1995,14U,South Korea,,0,0,,,,M,,,
Babysoul,Lee Soojung,이수정,베이비소울,7/6/1992,Lovelyz,South Korea,,158,41,Gwangju,,,F,Leader,,
Bada,Kim Bada,김바다,바다,5/28/2002,Hinapia,South Korea,,162,49,,,,F,,,
Baekah,Kim Sua,김수아,백아,10/24/1999,NeonPunch,South Korea,,0,0,,,,F,,sunghyuk_seo,
Baekho,Kang Dongho,강동호,백호,7/21/1995,NU'EST,South Korea,,0,0,Jeju,NU'EST W,,M,,,
Baekhyun,Byun Baekhyun,변백현,백현,5/6/1992,EXO,South Korea,,174,58,Wonmi,"EXO-CBX, SuperM",,M,,,
BamBam,Kunpimook Bhuwakul,꾼삐묵 부와꾼,뱀뱀,5/2/1997,GOT7,Thailand,,170,52,Bangkok,,,M,,,
Bang Chan,Bang Chan,방찬,방찬,10/3/1997,Stray Kids,Australia,South Korea,0,0,Sydney,3RACHA,,M,,,
Baro,Cha Sunwoo,차선우,바로,9/5/1992,B1A4,South Korea,,178,63,Gwangju,,,M,,,
Baron,Choi Chunghyeop,최충협,바론,4/19/1992,VAV,South Korea,,180,60,,,,M,,,
BC,Jin Sungho,진성호,비시,7/18/1994,1TEAM,South Korea,,0,0,,,,M,,,
Bekah,Rebecca Kim,김레베카,베카,8/11/1989,,South Korea,USA,0,0,Honolulu,,,F,,,
BEL,Choi Sunghoon,최성훈,벨,5/21/2000,DUSTIN,South Korea,,0,0,,,,M,,,
Bella,Choi Yuna,최윤아,벨라,2/2/1999,ELRIS,South Korea,,0,0,,,,F,,,
Belle,Jin Hyeonjoo,진현주,벨,11/3/2001,Cignature,South Korea,,0,0,Goyang,,Good Day,F,,,
Benji,Baek Jaewook,배제욱,벤지,5/3/1992,B.I.G,USA,South Korea,183,72,Indianapolis,,,M,,,
Beomgyu,Choi Beomgyu,최범규,범규,3/13/2001,TXT,South Korea,,0,0,,,,M,,,
Bian,Yu Jiwon,유지원,비안,2/13/2001,ANS,South Korea,,0,0,,,,F,,,
Bic,Nam Seungmin,남승민,빅,4/25/2001,MCND,South Korea,,0,0,,,,M,,,
Bin,Kwon Soobin,김수빈,빈,10/28/1993,Hot Blood Youth,South Korea,,0,0,,,,M,,,
Binnie,Bae Yubin,배유빈,비니,9/9/1997,Oh My Girl,South Korea,,161,49,Chuncheon,,,F,,,
Bitsaeon,Kim Sangyeon,김상연,빛새온,6/4/1995,MONT,South Korea,,181,60,,,,M,,,
Bitto,Lee Changhyun,이창현,비토,8/24/1996,UP10TION,South Korea,,0,0,Dongducheon,,,M,,,
Blue,Jung Gahee,정가희,파랑,1/18/1994,Pungdeng-E,South Korea,,161,0,Gwangju,,,F,,,
BM,Matthew Kim,매튜김,비엠,10/20/1992,KARD,South Korea,,0,0,,,,M,,,
BoA,Kwon Boa,권보아,보아,11/5/1989,,South Korea,,0,0,Guri,,,F,,boakwon,
Boa,Kim Boah,김보아,보아,1/14/1987,SPICA,South Korea,,0,0,,,,F,,,
Bobby,Kim Jiwon,김지원,바비,12/21/1995,iKON,South Korea,USA,0,0,Seoul,,,M,,,
Bohyung,Kim Bohyung,김보형,보형,3/31/1991,SPICA,South Korea,,0,0,,SPICA-S,,F,,,
Bokeun,Kim Bokeun,김복은,복은,10/12/1994,SIGNAL,South Korea,,0,0,,,,M,,,
Bom,Park Bom,박봄,봄,3/24/1984,2NE1,South Korea,,0,0,,,,F,,haroobommi,
Bomi,Yoon Bomi,윤보미,보미,9/13/1993,Apink,South Korea,,163,0,Suwon,,,F,,,
Bomin,Choi Bomin,최보민,보민,8/24/2000,Golden Child,South Korea,,0,0,,,,M,,,
Bomin,Kim Bomin,김보민,보민,9/24/2001,Good Day,South Korea,,0,0,Gwangju,,,F,,,
Bona,Kim Jiyeon,김지연,보나,8/19/1995,Cosmic Girls,South Korea,,163,0,Daegu,,,F,,,
Boni,Choi Euijeong,최의정,보니,10/30/1999,Dreamnote,South Korea,,160,45,,,,F,,,
Bora,Yoon Bora,윤보라,보라,1/30/1990,SISTAR,South Korea,,0,0,,,,F,,borabora_sugar,
Bora,Kim Bora,김보라,보라,3/3/1999,Cherry Bullet,South Korea,,0,0,,,,F,,,
Boram,Jeon Boram,전보람,보람,3/22/1986,T-ara,South Korea,,155,45,Seoul,,,F,,bo_ram_0322,
Bullet,Jin Junwoo,진준우,블릿,12/2/1995,VARSITY,South Korea,,182,65,Seoul,,,M,,,
BX,Lee Byounggon,이병곤,비엑스,3/5/1998,CIX,South Korea,,180,61,Incheon,,,M,"Leader, Main Rapper",,
Byungchan,Choi Byungchan,최병찬,병찬,11/12/1997,VICTON,South Korea,,0,0,,,,M,,,
C.A.P,Bang Minsoo,방민수,캡,11/4/1992,Teen Top,South Korea,,0,0,Seongnam,,,M,,,
Cao Lu,Cao Lu,차오루,차오루,8/30/1987,Fiestar,China,,166,0,Zhangjiajie,,,F,,better_me_lulu,
Casper,Chu Xiaoxiang,저효상,캐스퍼,3/20/1991,CROSS GENE,China,,176,66,Shanghai,,,M,,,
Castle J,Son Sangjoon,손성준,캐슬제이,5/31/1999,MCND,South Korea,,0,0,,,,M,,,
Cha Hoon,Cha Hoon,차훈,차훈,7/12/1994,N.Flying,South Korea,,0,0,Seoul,,,M,Guitar,,
Chaebin,Choi Yoobin,최유빈,채빈,7/28/1999,NATURE,South Korea,,0,0,,,,F,,,
Chaehyun,Kim Chaehyun,김채현,채현,11/29/1999,Bonus Baby,South Korea,,163,0,,,,F,,,
Chaejin,Chae Jinseok,채진석,채진,12/26/1995,MYNAME,South Korea,,0,0,Seoul,,,M,,,
Chaekyung,Yoon Chaekyung,윤채경,채경,7/7/1996,APRIL,South Korea,,160,45,Incheon,"C.I.V.A, I.B.I",Puretty,F,,,
Chaelin,Lee Chaelin,이채린,채린,10/20/1999,FANATICS,South Korea,,162,47,,,,F,,,
Chaerin,Park Chaerin,박채린,채린,3/13/2002,Cherry Bullet,South Korea,,0,0,,,,F,,,
Chaeryeong,Lee Chaeryeong,이채령,채령,7/5/2001,ITZY,South Korea,,0,0,,,,F,,,
Chaesol,Maeng Chaesol,맹채솔,채솔,7/14/1998,Cignature,South Korea,,0,0,Yeosu,,Good Day,F,,,
Chaewon,Kim Chaewon,김채원,채원,11/8/1997,APRIL,South Korea,,0,0,Gongju,,,F,,,
Chaewon,Kim Chaewon,김채원,채원,8/1/2000,IZ*ONE,South Korea,,0,0,Seoul,,,F,,,
ChaeY,Song Chaeyeon,송채연,채이,1/6/2003,CRAXY,South Korea,,0,0,,,,F,,,
Chaeyeon,Jung Chaeyeon,정채연,채연,12/1/1997,DIA,South Korea,,165,49,Suncheon,I.O.I,,F,,,
Chaeyeon,Kim Chaeyeon,김채연,채연,12/4/2004,Busters,South Korea,,0,0,,,,F,,,
Chaeyeon,Lee Chaeyeon,이채연,채연,1/11/2000,IZ*ONE,South Korea,,0,0,Yongin,,,F,,,
Chaeyoung,Son Chaeyoung,손채영,채영,4/23/1999,Twice,South Korea,,159,0,Seoul,,,F,,,
Chaeyoung,Lee Chaeyoung,이채영,채영,5/14/2000,fromis_9,South Korea,,0,0,Pohang,,,F,,,
Chahee,Park Sooyoung,박수영,차희,3/24/1996,MELODYDAY,South Korea,,167,0,,,,F,Sub Vocalist,hichaheebye,
Chan,Jung Chanwoo,정찬우,찬,1/26/1998,iKON,South Korea,,0,0,Yongin,,,M,,,
Chan,Kang Yoochan,강유찬,찬,12/31/1997,A.C.E,South Korea,,0,0,Jeju,UNB,,M,,,
Chan,Jo Chanhyuk,조찬혁,찬,12/8/1999,TOO,South Korea,,0,0,,,,M,,,
Changbin,Seo Changbin,서창빈,창빈,8/11/1999,Stray Kids,South Korea,,0,0,Yongin,3RACHA,,M,,,
Changbum,Woo Changbum,우창범,창범,10/7/1993,,South Korea,,0,0,Sokcho,,100%,M,,,
Changgyu,Song Changgyu,송창규,창규,7/6/1993,UNVS,South Korea,,0,0,,,,M,,,
Changjo,Choi Jonghyun,최종현,창조,11/16/1995,Teen Top,South Korea,,0,0,Chuncheon,,,M,,,
Changsub,Lee Changsub,이창섭,창섭,2/26/1991,BtoB,South Korea,,177,64,Suwon,,,M,,,
Changsun,Lee Changsun,이창선,창선,3/17/1996,24K,South Korea,,179,58,,,,M,,,
Chani,Kang Chanhee,강찬희,찬희,1/17/2000,SF9,South Korea,,0,0,,,,M,,,
Chanmi,Kim Chanmi,김찬미,찬미,6/19/1996,AoA,South Korea,,166,47,Gumi,,,F,,chanmi_96a,
Chansung,Hwang Chansung,황찬성,찬성,2/11/1990,2PM,South Korea,,184,75,Seoul,,,M,,,
Chanyeol,Park Chanyeol,박찬열,찬열,11/27/1992,EXO,South Korea,,185,70,Seoul,,,M,,,
Chanyong,Kim Chanyong,김찬용,찬용,4/29/1993,100%,South Korea,,0,0,Suwon,,,M,,,
Chanyoung,Kim Chanyoung,김찬영,찬영,11/20/2000,D-CRUNCH,South Korea,,0,0,,,,M,,,
Chen,Kim Jongdae,김종대,첸,9/21/1992,EXO,South Korea,,173,64,Silheung,EXO-CBX,,M,,,
Cheng Xiao,Cheng Xiao,청샤오,성소,7/15/1998,Cosmic Girls,China,,167,0,Shenzhen,,,F,,chengxiao_0715,
Chenle,Zhong Chenle,중천러,천러,11/22/2001,NCT,China,,0,0,Shanghai,NCT Dream,,M,,,
Cheongeum,Jang Cheongeum,장청음,청음,6/19/1996,Ho1iday,South Korea,,0,0,,,,F,,,
Cherry,Kim Chaeyoung,김채영,체리,7/5/1997,Good Day,South Korea,,0,0,Gunsan,,,F,,,
Chiayi,Li Chiayi,지아이,지아이,1/22/2000,FANATICS,Taiwan,,164,0,,FANATICS FLAVOR,,F,,,
Chihoon,Choi Chihoon,최치훈,치훈,4/27/1999,TOO,South Korea,,0,0,,,,M,,,
Choa,Park Choa,박초아,초아,3/6/1990,,South Korea,,160,42,Incheon,,"AoA, AOA BLACK",F,,queenchoa_,
Choa,Heo Minjin,허민진,초아,7/12/1990,Crayon Pop,South Korea,,161,0,Seoul,,,F,,,
Choerry,Choi Yerim,최예림,최리,6/4/2001,LOONA,South Korea,,0,0,,Loona Odd Eye Circle,,F,,,
Choi Jiann,Choi Jaewoo,최재우,최지안,9/30/1997,Newkidd,South Korea,,175,0,,,,M,,,
Chorong,Park Chorong,박초롱,초롱,3/3/1991,Apink,South Korea,,165,0,Chungwongoon,,,F,,mulgokizary,
Chungha,Kim Chungha,김청하,청하,2/9/1996,,South Korea,,0,0,Dallas,,I.O.I,F,,,
Chunji,Lee Chanhee,이찬희,천지,10/5/1993,Teen Top,South Korea,,0,0,Seongnam,,,M,,,
Chuu,Kim Jiwoo,김지우,츄,10/20/1999,LOONA,South Korea,,0,0,Cheongju,Loona yyxy,,F,,,
CL,Lee Chaerin,이채린,씨엘,2/26/1991,2NE1,South Korea,,0,0,,,,F,,chaelincl,
CNU,Shin Dongwoo,신동우,신우,7/16/1991,B1A4,South Korea,,182,64,Seoul,,,M,,,
Cory,Hong Joohyung,홍주현,코리,11/25/1990,24K,South Korea,USA,175,58,Daegu,,,M,,,
Cya,Lee Giwook,이기욱,키야,1/24/2000,Onewe,South Korea,,0,0,,,MAS,M,,,
D.ana,Cho Eunae,조은애,디애나,9/10/1995,Sonamoo,South Korea,,170,0,Seoul,,,F,Rapper,,SONAMOO_Dana
D.O.,Do Kyungsoo,도경수,디오,1/12/1993,EXO,South Korea,,173,60,Gyeonggi,,,M,,,
Daehwi,Lee Daehwi,이대휘,대휘,1/29/2001,AB6IX,South Korea,,0,0,Seoul,,Wanna One,M,,,
Daehyeon,Jang Daehyeon,장대현,대현,2/11/1997,,South Korea,,175,0,,,RAINZ,M,,daehyeon0211,
Daehyun,Jung Daehyun,정대현,대현,6/28/1993,B.A.P,South Korea,,177,63,Busan,,,M,,,
Daeil,Kim Daeil,김대일,대일,5/10/1992,,South Korea,,0,0,Busan,,24K,M,,,
Daesung,Daesung,강대성,대성,4/26/1989,BIGBANG,South Korea,,178,63,Incheon,,,M,,,
Daeun,Jung Daeun,정다은,정다은,6/3/1994,2EYES,South Korea,,161,0,Bucheon,,,F,,da.ni_jung,
Daewang Nim,Daewang Nim,대왕님,대왕님,4/8/1996,Pink Fantasy,South Korea,,162,49,,,,F,,,
Daeyeol,Lee Daeyeol,이대열,대열,2/11/1993,Golden Child,South Korea,,0,0,Yongin,,,M,,,
Daeyeon,Hwang Da Kyeon,황연경,다연,11/17/1995,NeonPunch,South Korea,,0,0,,,,F,,sunghyuk_seo,
Dahye,Song Dahye,송다혜,다혜,6/12/1993,,South Korea,,0,0,,,"EXID, BESTie",F,,dahye0612,
Dahyun,Kim Dahyun,김다현,다현,5/28/1998,Twice,South Korea,,165,0,Seongnam,,,F,,,
Dahyun,Jeong Dahyun,정다현,다현,4/29/2005,Rocket Punch,South Korea,,160,0,,,,F,,,
Dain,Song Jieun,송지은,다인,6/25/1990,,South Korea,,0,0,,,Wassup,F,,,
Daisy,Yoo Jeongahn,유정안,데이지,1/22/1999,MOMOLAND,South Korea,,0,0,Seoul,,,F,,,
Dajeong,Kim Dajeong,김다정,다정,8/8/1995,Hashtag,South Korea,,170,0,Gwangju,,,F,,,
Dalyn,Lee Sohyun,이소현,달린,8/27/1999,ANS,South Korea,,0,0,,,,F,,,
Dami,Lee Yoobin,이유빈,다미,3/7/1997,Dreamcatcher,South Korea,,163,0,Seoul,,Minx,F,,,
Dami,Hong Dayoung,홍다영,담이,6/7/2001,ANS,South Korea,,0,0,,,,F,,,
Damon,Hu Boohan,후보한,데이먼,7/2/1996,VARSITY,China,,181,0,,,,M,,,
Dan-a,Park Seungyeon,박승연,단아,6/26/1993,Matilda,South Korea,,0,160,,,,F,,,
Daniel,Kang Daniel,강다니엘,다니엘,12/10/1996,Wanna One,South Korea,,0,0,Busan,,,M,,,
Dany,Jeon Eunji,전은지,다니,1/20/1998,Ho1iday,South Korea,,0,0,,,,F,,,
Daon,Ahn Seonil,안선일,다온,12/10/2000,DUSTIN,South Korea,,0,0,,,,M,,,
Dara,Park Sandara,박산다라,다라,11/12/1984,2NE1,South Korea,,0,0,,,,F,,daraxxi,
Dasom,Kim Dasom,김다솜,다솜,5/6/1993,SISTAR,South Korea,,0,0,,,,F,,som0506,
Dasom,Lee Dasom,이다솜,다솜,11/13/1993,2EYES,South Korea,,164,0,Cheongju,,,F,,,
Dawon,Nam Dawon,남다원,다원,3/16/1997,Cosmic Girls,South Korea,,167,0,Seoul,,,F,,,
Dawon,Lee Sanghyuk,이상혁,다원,7/24/1995,SF9,South Korea,,0,0,,,,M,,,
Dawon,Cho Dawon,조다원,다원,5/12/2000,VARSITY,South Korea,,183,69,,,,M,,,
Dawon,Lee Dawon,이다원,다원,12/2/1996,ARIAZ,South Korea,,0,0,,,,F,,,
Daye,Kim Hyunjung,김현정,다예,2/25/1998,Berry Good,South Korea,,167,0,,,,F,,,
Dayoung,Kim Dayoung,김다영,다영,2/2/1991,Blady,South Korea,,0,0,Jeonju,,,F,,loloola22_,
Dayoung,Im Dayoung,임다영,다영,5/14/1999,Cosmic Girls,South Korea,,161,0,Jeju,,,F,,,
Dayun,Kim Dayun,김다윤,다윤,11/20/2000,Bonus Baby,South Korea,,164,0,,,,F,,,
Della,Park Sehyun,박세현,델라,9/3/1995,Rockit Girl,South Korea,,0,0,,,,F,,,
Dino,Lee Chan,이찬,디노,2/11/1999,Seventeen,South Korea,,167,54,Iksan,,,M,,,
DK,Lee Seongmin,이석민,도겸,2/18/1997,Seventeen,South Korea,,178,68,Yongin,,,M,,,
DK,Kim Donghyuk,김동혁,디케이,1/3/1997,iKON,South Korea,,0,0,,,,M,,,
Doah,Kim Doah,김도아,도아,12/4/2003,FANATICS,South Korea,,163,42,,FANATICS FLAVOR,,F,,,
Dohee,Yoon Dohee,윤도희,도희,9/24/1999,NeonPunch,South Korea,,0,0,,,,F,,,
Dohyon,Nam Dohyon,남도현,도현,11/10/2004,X1,South Korea,,180,62,,,,M,,,
Dohyuk,Kim Dohyuk,김도혁,도혁,1/16/1998,14U,South Korea,,0,0,,,,M,,,
Doi,Kim Doi,김도이,도이,4/12/1996,FANATICS,South Korea,,170,0,,,,F,,,
Dojin,Jeon Yongtae,전용태,도진,3/7/1997,ENOi,South Korea,,181,61,,,,M,,,
Dokyun,Na Dokyun,나도균,도균,2/11/1991,HISTORY,South Korea,,184,65,Daejeon,,,M,,,
Donggeon,Song Donggeon,송동건,동건,7/15/1999,TOO,South Korea,,0,0,,,,M,,,
Donghae,Lee Donghae,이동해,동해,10/15/1986,Super Junior,South Korea,,176,60,Mokpo,Super Junior-M,,M,,,
Donghan,Kim Donghan,김동한,동한,7/3/1998,JBJ,South Korea,,0,0,Daegu,,,M,,,
Dongheon,Lee Dongheon,이동헌,동헌,8/4/1995,Verivery,South Korea,,0,0,,,,M,,,
Donghun,Lee Donghun,이동훈,동훈,5/15/1993,A.C.E,South Korea,,0,0,Suncheon,,,M,,,
Donghyun,Kim Donghyun,김동현,동현,2/12/1989,Boyfriend,South Korea,,178,60,Seoul,,,M,,,
Donghyun,Kim Donghyun,김동현,동현,2/23/1999,Golden Child,South Korea,,0,0,,,,M,,,
Donghyun,Kim Donghyun,김동현,동현,9/17/1998,AB6IX,South Korea,,0,0,Daejeon,MXM,,M,,,
Dongjun,Kim Dongjun,김동준,동준,2/11/1992,ZE:A,South Korea,,0,0,Busan,,,M,,,
Dongkyu,Moon Dongkyu,문동규,동규,11/16/1992,Spectrum,South Korea,,0,0,,,,M,,,
Dongmyeong,Son Dongmyeong,곤동명,동명,1/20/2000,Onewe,South Korea,,0,0,,,MAS,M,,,
Dongpyo,Son Dongpyo,손동표,동표,9/9/2002,X1,South Korea,,166,48,,,,M,,,
Dongwon,Lee Dongwon,이동원,동원,1/1/1994,KNK,South Korea,,184,0,,,,M,,,
Dongwoo,Jang Dongwoo,장동우,동우,11/22/1990,Infinite,South Korea,,171,58,Guri,Infinite H,,M,,,
Dongwoon,Son Dongwoon,손동운,동운,6/6/1991,Highlight,South Korea,,181,64,Busan,,Beast,M,,,
Doojoon,Yoon Doojoon,윤두준,두준,7/4/1989,Highlight,South Korea,,177,66,Goyang,,Beast,M,Leader,,
Dowoon,Yoon Dowoon,윤도운,도운,8/25/1995,DAY6,South Korea,,0,0,,,,M,Drummer,,
Doyeon,Kim Doyeon,김도연,도연,12/4/1999,Weki Meki,South Korea,,0,0,Incheon,"I.O.I, WJMK",,F,,,
Doyoung,Kim Dongyoung,김동영,도영,2/1/1996,NCT,South Korea,,0,0,Guri,"NCT U, NCT 127",,M,,,
Doyoung,Kim Doyoung,김도영,도영,12/4/2003,Treasure,South Korea,,0,0,,,,M,,,
Doyum,Jeon Doyum,전도염,도염,2/21/2002,1the9,South Korea,,175,55,Daejeon,,,M,,,
Dylan,Park Yeonjae,박연재,딜란,7/26/2002,D-CRUNCH,South Korea,,0,0,,,,M,,,
E'Dawn,Kim Hyojong,김효종,이던,6/1/1994,,South Korea,,0,0,,,PENTAGON,M,,,
E-tion,Lee Changyoon,이창윤,이션,12/24/1994,ONF,South Korea,,0,0,Jeonju,,,M,,,
E-Young,Noh Yiyoung,노이영,이영,8/16/1992,After School,South Korea,,0,0,Chuncheon,,,F,,e_young0816,
E.sol,Jeon Jaehyuk,전재혁,이솔,9/17/1992,14U,South Korea,,0,0,,,,M,,,
E:U,Park Jiwon,박지원,이유,5/19/1998,Everglow,South Korea,,0,0,,,,F,,,
Eli,Ellison Kim,엘리슨 킴,일라이,3/13/1991,U-KISS,USA,South Korea,0,0,Los Angeles,,,M,,,
Elkie,Chong Ting Yan,쫑딩얀,엘키,11/2/1998,CLC,Hong Kong,,163,45,Hong Kong,,,F,,,
Ellin,Kim Minyoung,김민영,엘린,4/2/1990,Crayon Pop,South Korea,,165,44,Daegu,,,F,,hiellin,
Elly,Jung Haerim,정해림,엘리,7/20/1998,Weki Meki,South Korea,,0,0,,,,F,,,
Ellyn,Bang Sunhee,방선희,엘린,10/19/2002,Girlkind,South Korea,,0,170,,,,F,,,
Eric,Son Youngjae,손영재,에릭,12/22/2000,The Boyz,South Korea,,171,56,,,,M,,,
Eson,Kim Jungmin,김정민,이슨,12/28/1996,We In The Zone,South Korea,USA,177,63,Honolulu,,,M,Leader,,
Euaerin,Lee Hyemin,이혜민,이유애린,5/3/1988,,South Korea,,174,48,Seoul,,9Muses,F,,,
Euijin,Hong Euijin,홍의진,의진,10/8/1996,Sonamoo,South Korea,,168,0,Gwangju,UNI.T,,F,,,SONAMOO_EuiJin
Euijin,Lee Euijin,이의진,의진,2/15/1990,Bigflo,South Korea,,0,0,Seoul,,,M,,,
Eun,Choi Eunmi,최은미,은,5/14/1990,Two X,South Korea,,0,0,,,,F,,,
Eunbi,Kwon Eunbi,권은비,은비,9/27/1995,IZ*ONE,South Korea,,0,0,Seoul,,,F,,,
Eunbin,Kwon Eunbin,권은빈,은빈,1/6/2000,CLC,South Korea,,167,48,Seoul,,,F,,,
Eunchae,Kwon Chaewon,권채원,은채,5/26/1999,DIA,South Korea,,0,0,,,,F,,,
Eunha,Jung Eunbi,정은비,은하,5/30/1997,Gfriend,South Korea,,163,0,Seoul,,,F,,,
Eunho,Shin Donggeun,신동근,은호,9/10/1992,UNVS,South Korea,,0,0,,,,M,,,
Eunhyuk,Lee Hyukjae,이혁재,은혁,4/4/1986,Super Junior,South Korea,,176,58,Ilsan,Super Junior-M,,M,,,
Eunice,Heo Sooyeon,허수연,유니스,11/2/1991,DIA,South Korea,,166,49,Busan,,,F,,,
Eunjae,Kwak Eunjae,곽은재,은재,5/2/1996,14U,South Korea,,0,0,,,,M,,,
Eunji,Jung Eunji,정은지,은지,8/18/1993,Apink,South Korea,,163,0,Busan,,,F,,artist_eunji,
Eunji,Hong Eunji,홍은지,은지,7/19/1992,Brave Girls,South Korea,,0,0,Seoul,,,F,,,
Eunjin,Ahn Eunjin,안은진,은진,8/31/1997,,South Korea,,170,49,Mokpo,,DIA,F,,,
Eunjin,Ma Eunjin,마은진,은진,5/23/1997,Playback,South Korea,,165,49,Wonju,,,F,,sunghyuk_seo,
Eunjin,Moon Eunjin,문은진,은진,11/5/1998,Highteen,South Korea,,0,0,,,,F,,,
Eunjo,Park Eunjo,박은조,은조,3/7/2002,Dreamnote,South Korea,,164,46,,,,F,,,
Eunjun,Choi Eunjun,최은준,은준,8/6/1999,Spectrum,South Korea,,0,0,,,,M,,,
Eunjung,Ham Eunjung,함은정,은정,12/12/1988,T-ara,South Korea,,167,47,Seoul,,,F,,sweetgirl_eunjung,
Eunki,Hong Eunki,홍은기,은기,9/29/1997,,South Korea,,182,0,,,RAINZ,M,,eun_doitz,eun_doit2
Eunkwang,Seo Eunkwang,서은광,은광,11/22/1990,BtoB,South Korea,,173,62,Yongin,,,M,,,
Eunsang,Lee Eunsang,이은상,은상,10/16/2002,X1,South Korea,,180,58,,,,M,,,
Eunseo,Son Juyeon,손주연,은서,5/27/1998,Cosmic Girls,South Korea,,167,0,Incheon,,,F,,_eunseo_v,
Eunsung,Lee Eunsung,이은성,은성,9/7/2000,TheEastLight,South Korea,,0,0,,,,M,,,
Eunwoo,Jeong Eunwoo,정은우,은우,7/1/1998,Hinapia,South Korea,,167,48,,Pristin V,Pristin,F,,,
Eunwoo,Cha Eunwoo,차은우,은우,3/30/1997,ASTRO,South Korea,,0,0,Gunpo,,,M,,,
Eunyoung,Joo Eunyoung,주은영,은영,6/12/1992,Two X,South Korea,,0,0,,,,F,,,
Exy,Chu Sojung,추소정,엑시,11/6/1995,Cosmic Girls,South Korea,,166,0,Busan,,,F,Leader,exy_s2,
Fei,Wang FeiFei,왕페이페이,페이,4/27/1987,miss A,China,,165,0,Haikou,,,F,,ff0427,
Felix,Lee Youngbok,이용복,필릭스,9/15/2000,Stray Kids,South Korea,,0,0,Sydney,,,M,,,
G-Dragon,Kwon Jiyong,권지용,지드래곤,8/18/1988,BIGBANG,South Korea,,177,58,Seoul,GD&TOP,,M,,,
G.NA,Gina Jane Choi,최지나,지나,9/13/1987,,Canada,South Korea,167,0,Edmonton,,,F,,missginachoi87,
